,entity_type,n_possible_dependents,possible_dependents,raw_sentence,sentence_position,sentence_root,text_value
11,PHONE_NUMBER,7,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, ORG:Avenue\n\nFort, ORG:Lauderdale, PERSON:Janette, PERSON:Moreno","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,525 2221
12,PHONE_NUMBER,7,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, ORG:Avenue\n\nFort, ORG:Lauderdale, PERSON:Janette, PERSON:Moreno","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,894 2796
13,INTERNATIONAL_PHONE_NUMBER,7,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, ORG:Avenue\n\nFort, ORG:Lauderdale, PERSON:Janette, PERSON:Moreno","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,101-102-894-2796
14,ORG,4,"ORG:Plaintiff:\n\nSCHLESINGER, ORG:LAW, ORG:P.A., ORG:1212","23 24 25\n\nPage 5404\n\nOn behalf of Plaintiff:\n\nSCHLESINGER LAW OFFICES, P.A. 1212",156,25\n\nPage,Plaintiff:\n\nSCHLESINGER LAW
15,ORG,4,"ORG:Plaintiff:\n\nSCHLESINGER, ORG:LAW, ORG:P.A., ORG:1212","23 24 25\n\nPage 5404\n\nOn behalf of Plaintiff:\n\nSCHLESINGER LAW OFFICES, P.A. 1212",156,25\n\nPage,P.A. 1212
16,PERSON,12,"PERSON:STEVEN, PERSON:HAMMER, ORG:ESQUIRE, ORG:BRITTANY, ORG:CHAMBERS, ORG:R.J., ORG:Reynolds:\n\nKING, ORG:&, ORG:SPALDING, ORG:North, ORG:Tryon, ORG:Street","BY:  STEVEN HAMMER, ESQUIRE\n\nSCOTT P. SCHLESINGER, ESQUIRE JONATHAN R. GDANSKI, ESQUIRE BRITTANY CHAMBERS, ESQUIRE\n\nOn behalf of Defendant, R.J. Reynolds:\n\nKING & SPALDING, LLP 100 North Tryon Street, Suite 3900 Charlotte, North Carolina  ",177,BY,STEVEN HAMMER
17,ORG,12,"PERSON:STEVEN, PERSON:HAMMER, ORG:ESQUIRE, ORG:BRITTANY, ORG:CHAMBERS, ORG:R.J., ORG:Reynolds:\n\nKING, ORG:&, ORG:SPALDING, ORG:North, ORG:Tryon, ORG:Street","BY:  STEVEN HAMMER, ESQUIRE\n\nSCOTT P. SCHLESINGER, ESQUIRE JONATHAN R. GDANSKI, ESQUIRE BRITTANY CHAMBERS, ESQUIRE\n\nOn behalf of Defendant, R.J. Reynolds:\n\nKING & SPALDING, LLP 100 North Tryon Street, Suite 3900 Charlotte, North Carolina  ",177,BY,ESQUIRE BRITTANY CHAMBERS
18,ORG,12,"PERSON:STEVEN, PERSON:HAMMER, ORG:ESQUIRE, ORG:BRITTANY, ORG:CHAMBERS, ORG:R.J., ORG:Reynolds:\n\nKING, ORG:&, ORG:SPALDING, ORG:North, ORG:Tryon, ORG:Street","BY:  STEVEN HAMMER, ESQUIRE\n\nSCOTT P. SCHLESINGER, ESQUIRE JONATHAN R. GDANSKI, ESQUIRE BRITTANY CHAMBERS, ESQUIRE\n\nOn behalf of Defendant, R.J. Reynolds:\n\nKING & SPALDING, LLP 100 North Tryon Street, Suite 3900 Charlotte, North Carolina  ",177,BY,R.J. Reynolds:\n\nKING & SPALDING
19,ORG,12,"PERSON:STEVEN, PERSON:HAMMER, ORG:ESQUIRE, ORG:BRITTANY, ORG:CHAMBERS, ORG:R.J., ORG:Reynolds:\n\nKING, ORG:&, ORG:SPALDING, ORG:North, ORG:Tryon, ORG:Street","BY:  STEVEN HAMMER, ESQUIRE\n\nSCOTT P. SCHLESINGER, ESQUIRE JONATHAN R. GDANSKI, ESQUIRE BRITTANY CHAMBERS, ESQUIRE\n\nOn behalf of Defendant, R.J. Reynolds:\n\nKING & SPALDING, LLP 100 North Tryon Street, Suite 3900 Charlotte, North Carolina  ",177,BY,North Tryon Street
20,PERSON,12,"PERSON:JEFFREY, PERSON:L., PERSON:FURR, ORG:ESQUIRE\n\nKING, ORG:&, ORG:SPALDING, ORG:LLP, ORG:1180, ORG:Peachtree, ORG:Street, ORG:NE, ORG:Atlanta","28202 BY:  JEFFREY L. FURR, ESQUIRE\n\nKING & SPALDING, LLP 1180 Peachtree Street, NE Atlanta, Georgia  30309-3521",219,BY,JEFFREY L. FURR
21,ORG,12,"PERSON:JEFFREY, PERSON:L., PERSON:FURR, ORG:ESQUIRE\n\nKING, ORG:&, ORG:SPALDING, ORG:LLP, ORG:1180, ORG:Peachtree, ORG:Street, ORG:NE, ORG:Atlanta","28202 BY:  JEFFREY L. FURR, ESQUIRE\n\nKING & SPALDING, LLP 1180 Peachtree Street, NE Atlanta, Georgia  30309-3521",219,BY,ESQUIRE\n\nKING & SPALDING
22,ORG,12,"PERSON:JEFFREY, PERSON:L., PERSON:FURR, ORG:ESQUIRE\n\nKING, ORG:&, ORG:SPALDING, ORG:LLP, ORG:1180, ORG:Peachtree, ORG:Street, ORG:NE, ORG:Atlanta","28202 BY:  JEFFREY L. FURR, ESQUIRE\n\nKING & SPALDING, LLP 1180 Peachtree Street, NE Atlanta, Georgia  30309-3521",219,BY,LLP 1180 Peachtree Street
23,ORG,12,"PERSON:JEFFREY, PERSON:L., PERSON:FURR, ORG:ESQUIRE\n\nKING, ORG:&, ORG:SPALDING, ORG:LLP, ORG:1180, ORG:Peachtree, ORG:Street, ORG:NE, ORG:Atlanta","28202 BY:  JEFFREY L. FURR, ESQUIRE\n\nKING & SPALDING, LLP 1180 Peachtree Street, NE Atlanta, Georgia  30309-3521",219,BY,NE Atlanta
24,PHONE_NUMBER,12,"PERSON:JEFFREY, PERSON:L., PERSON:FURR, ORG:ESQUIRE\n\nKING, ORG:&, ORG:SPALDING, ORG:LLP, ORG:1180, ORG:Peachtree, ORG:Street, ORG:NE, ORG:Atlanta","28202 BY:  JEFFREY L. FURR, ESQUIRE\n\nKING & SPALDING, LLP 1180 Peachtree Street, NE Atlanta, Georgia  30309-3521",219,BY,309-3521
25,PHONE_NUMBER,12,"PERSON:JEFFREY, PERSON:L., PERSON:FURR, ORG:ESQUIRE\n\nKING, ORG:&, ORG:SPALDING, ORG:LLP, ORG:1180, ORG:Peachtree, ORG:Street, ORG:NE, ORG:Atlanta","28202 BY:  JEFFREY L. FURR, ESQUIRE\n\nKING & SPALDING, LLP 1180 Peachtree Street, NE Atlanta, Georgia  30309-3521",219,BY,309 3521
26,PERSON,15,"PERSON:NATHAN, ORG:ESQUIRE\n\nKATHRYN, ORG:S., ORG:LEHMAN, ORG:ESQUIRE\n\nKING, ORG:&, ORG:SPALDING, ORG:LLP\n\n1700, ORG:Pennsylvania, ORG:Avenue, ORG:,, ORG:NW, ORG:Suite, ORG:200\n\nWashington, ORG:D.C.","BY:  NATHAN GUEST, ESQUIRE\n\nKATHRYN S. LEHMAN, ESQUIRE\n\nKING & SPALDING, LLP\n\n1700 Pennsylvania Avenue, NW, Suite 200\n\nWashington D.C.  20006",244,BY,NATHAN
27,ORG,15,"PERSON:NATHAN, ORG:ESQUIRE\n\nKATHRYN, ORG:S., ORG:LEHMAN, ORG:ESQUIRE\n\nKING, ORG:&, ORG:SPALDING, ORG:LLP\n\n1700, ORG:Pennsylvania, ORG:Avenue, ORG:,, ORG:NW, ORG:Suite, ORG:200\n\nWashington, ORG:D.C.","BY:  NATHAN GUEST, ESQUIRE\n\nKATHRYN S. LEHMAN, ESQUIRE\n\nKING & SPALDING, LLP\n\n1700 Pennsylvania Avenue, NW, Suite 200\n\nWashington D.C.  20006",244,BY,ESQUIRE\n\nKATHRYN S. LEHMAN
28,ORG,15,"PERSON:NATHAN, ORG:ESQUIRE\n\nKATHRYN, ORG:S., ORG:LEHMAN, ORG:ESQUIRE\n\nKING, ORG:&, ORG:SPALDING, ORG:LLP\n\n1700, ORG:Pennsylvania, ORG:Avenue, ORG:,, ORG:NW, ORG:Suite, ORG:200\n\nWashington, ORG:D.C.","BY:  NATHAN GUEST, ESQUIRE\n\nKATHRYN S. LEHMAN, ESQUIRE\n\nKING & SPALDING, LLP\n\n1700 Pennsylvania Avenue, NW, Suite 200\n\nWashington D.C.  20006",244,BY,ESQUIRE\n\nKING & SPALDING
29,ORG,15,"PERSON:NATHAN, ORG:ESQUIRE\n\nKATHRYN, ORG:S., ORG:LEHMAN, ORG:ESQUIRE\n\nKING, ORG:&, ORG:SPALDING, ORG:LLP\n\n1700, ORG:Pennsylvania, ORG:Avenue, ORG:,, ORG:NW, ORG:Suite, ORG:200\n\nWashington, ORG:D.C.","BY:  NATHAN GUEST, ESQUIRE\n\nKATHRYN S. LEHMAN, ESQUIRE\n\nKING & SPALDING, LLP\n\n1700 Pennsylvania Avenue, NW, Suite 200\n\nWashington D.C.  20006",244,BY,"LLP\n\n1700 Pennsylvania Avenue, NW"
30,ORG,15,"PERSON:NATHAN, ORG:ESQUIRE\n\nKATHRYN, ORG:S., ORG:LEHMAN, ORG:ESQUIRE\n\nKING, ORG:&, ORG:SPALDING, ORG:LLP\n\n1700, ORG:Pennsylvania, ORG:Avenue, ORG:,, ORG:NW, ORG:Suite, ORG:200\n\nWashington, ORG:D.C.","BY:  NATHAN GUEST, ESQUIRE\n\nKATHRYN S. LEHMAN, ESQUIRE\n\nKING & SPALDING, LLP\n\n1700 Pennsylvania Avenue, NW, Suite 200\n\nWashington D.C.  20006",244,BY,Suite 200\n\nWashington D.C.
31,ORG,15,"ORG:SCOTT, ORG:M., ORG:EDSON, ORG:Philip, ORG:Morris, ORG:USA:\n\nBOIES, ORG:SCHILLER, ORG:&, ORG:FLEXNER, ORG:LLP\n\n100, ORG:Southeast, ORG:Second, ORG:Street, ORG:Florida, ORG:33131\n\nBY","-4707\n\nBY:  SCOTT M. EDSON, ESQUIRE\n\nOn behalf of Defendant, Philip Morris USA:\n\nBOIES SCHILLER & FLEXNER, LLP\n\n100 Southeast Second Street, Suite 2800\n\nMiami, Florida  33131\n\nBY:  ",269,ESQUIRE\n\nOn,SCOTT M. EDSON
32,ORG,15,"ORG:SCOTT, ORG:M., ORG:EDSON, ORG:Philip, ORG:Morris, ORG:USA:\n\nBOIES, ORG:SCHILLER, ORG:&, ORG:FLEXNER, ORG:LLP\n\n100, ORG:Southeast, ORG:Second, ORG:Street, ORG:Florida, ORG:33131\n\nBY","-4707\n\nBY:  SCOTT M. EDSON, ESQUIRE\n\nOn behalf of Defendant, Philip Morris USA:\n\nBOIES SCHILLER & FLEXNER, LLP\n\n100 Southeast Second Street, Suite 2800\n\nMiami, Florida  33131\n\nBY:  ",269,ESQUIRE\n\nOn,Philip Morris USA:\n\nBOIES SCHILLER & FLEXNER
33,ORG,15,"ORG:SCOTT, ORG:M., ORG:EDSON, ORG:Philip, ORG:Morris, ORG:USA:\n\nBOIES, ORG:SCHILLER, ORG:&, ORG:FLEXNER, ORG:LLP\n\n100, ORG:Southeast, ORG:Second, ORG:Street, ORG:Florida, ORG:33131\n\nBY","-4707\n\nBY:  SCOTT M. EDSON, ESQUIRE\n\nOn behalf of Defendant, Philip Morris USA:\n\nBOIES SCHILLER & FLEXNER, LLP\n\n100 Southeast Second Street, Suite 2800\n\nMiami, Florida  33131\n\nBY:  ",269,ESQUIRE\n\nOn,LLP\n\n100 Southeast Second Street
34,ORG,15,"ORG:SCOTT, ORG:M., ORG:EDSON, ORG:Philip, ORG:Morris, ORG:USA:\n\nBOIES, ORG:SCHILLER, ORG:&, ORG:FLEXNER, ORG:LLP\n\n100, ORG:Southeast, ORG:Second, ORG:Street, ORG:Florida, ORG:33131\n\nBY","-4707\n\nBY:  SCOTT M. EDSON, ESQUIRE\n\nOn behalf of Defendant, Philip Morris USA:\n\nBOIES SCHILLER & FLEXNER, LLP\n\n100 Southeast Second Street, Suite 2800\n\nMiami, Florida  33131\n\nBY:  ",269,ESQUIRE\n\nOn,Florida  33131\n\nBY
35,PERSON,15,"PERSON:ANDREW, PERSON:BRENNER, PERSON:Janette, PERSON:Moreno, PERSON:CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn, ORG:Liggett, ORG:Group, ORG:Vector, ORG:Group, ORG:Ltd., ORG:BENSON, ORG:,, ORG:TORRES, ORG:&, ORG:FRIEDMAN","ANDREW BRENNER, ESQUIRE\n\nAPPEARANCES CONTINUED on next page.\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=2\n1 APPEARANCES CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\n\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ",302,BRENNER,ANDREW BRENNER
36,PERSON,15,"PERSON:ANDREW, PERSON:BRENNER, PERSON:Janette, PERSON:Moreno, PERSON:CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn, ORG:Liggett, ORG:Group, ORG:Vector, ORG:Group, ORG:Ltd., ORG:BENSON, ORG:,, ORG:TORRES, ORG:&, ORG:FRIEDMAN","ANDREW BRENNER, ESQUIRE\n\nAPPEARANCES CONTINUED on next page.\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=2\n1 APPEARANCES CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\n\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ",302,BRENNER,Janette Moreno
37,PERSON,15,"PERSON:ANDREW, PERSON:BRENNER, PERSON:Janette, PERSON:Moreno, PERSON:CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn, ORG:Liggett, ORG:Group, ORG:Vector, ORG:Group, ORG:Ltd., ORG:BENSON, ORG:,, ORG:TORRES, ORG:&, ORG:FRIEDMAN","ANDREW BRENNER, ESQUIRE\n\nAPPEARANCES CONTINUED on next page.\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=2\n1 APPEARANCES CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\n\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ",302,BRENNER,CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn
38,ORG,15,"PERSON:ANDREW, PERSON:BRENNER, PERSON:Janette, PERSON:Moreno, PERSON:CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn, ORG:Liggett, ORG:Group, ORG:Vector, ORG:Group, ORG:Ltd., ORG:BENSON, ORG:,, ORG:TORRES, ORG:&, ORG:FRIEDMAN","ANDREW BRENNER, ESQUIRE\n\nAPPEARANCES CONTINUED on next page.\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=2\n1 APPEARANCES CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\n\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ",302,BRENNER,Liggett Group
39,ORG,15,"PERSON:ANDREW, PERSON:BRENNER, PERSON:Janette, PERSON:Moreno, PERSON:CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn, ORG:Liggett, ORG:Group, ORG:Vector, ORG:Group, ORG:Ltd., ORG:BENSON, ORG:,, ORG:TORRES, ORG:&, ORG:FRIEDMAN","ANDREW BRENNER, ESQUIRE\n\nAPPEARANCES CONTINUED on next page.\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=2\n1 APPEARANCES CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\n\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ",302,BRENNER,Vector Group Ltd.
40,ORG,15,"PERSON:ANDREW, PERSON:BRENNER, PERSON:Janette, PERSON:Moreno, PERSON:CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn, ORG:Liggett, ORG:Group, ORG:Vector, ORG:Group, ORG:Ltd., ORG:BENSON, ORG:,, ORG:TORRES, ORG:&, ORG:FRIEDMAN","ANDREW BRENNER, ESQUIRE\n\nAPPEARANCES CONTINUED on next page.\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=2\n1 APPEARANCES CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\n\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ",302,BRENNER,"BENSON, TORRES & FRIEDMAN"
41,PHONE_NUMBER,15,"PERSON:ANDREW, PERSON:BRENNER, PERSON:Janette, PERSON:Moreno, PERSON:CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn, ORG:Liggett, ORG:Group, ORG:Vector, ORG:Group, ORG:Ltd., ORG:BENSON, ORG:,, ORG:TORRES, ORG:&, ORG:FRIEDMAN","ANDREW BRENNER, ESQUIRE\n\nAPPEARANCES CONTINUED on next page.\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=2\n1 APPEARANCES CONTINUED\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\n\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ",302,BRENNER,894-2796
