center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,raw_sentence,sentence_position,text_value
[ 10.   7. 113.   3.  21. 216.  33.  22.],5,10,3,['PHONE_NUMBER'],725,7,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['894-2796']
[ 10.   7. 113.   3.  21. 216.  33.  22.],5,11,3,['PHONE_NUMBER'],725,7,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['525 2221']
[ 10.   7. 113.   3.  21. 216.  33.  22.],5,12,3,['PHONE_NUMBER'],725,7,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['894 2796']
[ 10.   7. 113.   3.  21. 216.  33.  22.],5,13,4,['INTERNATIONAL_PHONE_NUMBER'],725,7,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['101-102-894-2796']
[ 14.   4. 156.   1.  33.  26.   4. 134.],6,14,0,['ORG'],725,2,"['23 24 25\\n\\nPage 5404\\n\\nOn behalf of Plaintiff:\\n\\nSCHLESINGER LAW OFFICES, P.A. 1212']",[156],['Plaintiff:\\n\\nSCHLESINGER LAW']
[ 14.   4. 156.   1.  33.  26.   4. 134.],6,15,1,['ORG'],725,2,"['23 24 25\\n\\nPage 5404\\n\\nOn behalf of Plaintiff:\\n\\nSCHLESINGER LAW OFFICES, P.A. 1212']",[156],['P.A. 1212']
[ 19.  12. 177.   1. 209.  74.  11. 126.],7,16,1,['PERSON'],725,4,"['BY:  STEVEN HAMMER, ESQUIRE\\n\\nSCOTT P. SCHLESINGER, ESQUIRE JONATHAN R. GDANSKI, ESQUIRE BRITTANY CHAMBERS, ESQUIRE\\n\\nOn behalf of Defendant, R.J. Reynolds:\\n\\nKING & SPALDING, LLP 100 North Tryon Street, Suite 3900 Charlotte, North Carolina  ']",[177],['STEVEN HAMMER']
[ 19.  12. 177.   1. 209.  74.  11. 126.],7,17,2,['ORG'],725,4,"['BY:  STEVEN HAMMER, ESQUIRE\\n\\nSCOTT P. SCHLESINGER, ESQUIRE JONATHAN R. GDANSKI, ESQUIRE BRITTANY CHAMBERS, ESQUIRE\\n\\nOn behalf of Defendant, R.J. Reynolds:\\n\\nKING & SPALDING, LLP 100 North Tryon Street, Suite 3900 Charlotte, North Carolina  ']",[177],['ESQUIRE BRITTANY CHAMBERS']
[ 19.  12. 177.   1. 209.  74.  11. 126.],7,18,2,['ORG'],725,4,"['BY:  STEVEN HAMMER, ESQUIRE\\n\\nSCOTT P. SCHLESINGER, ESQUIRE JONATHAN R. GDANSKI, ESQUIRE BRITTANY CHAMBERS, ESQUIRE\\n\\nOn behalf of Defendant, R.J. Reynolds:\\n\\nKING & SPALDING, LLP 100 North Tryon Street, Suite 3900 Charlotte, North Carolina  ']",[177],['R.J. Reynolds:\\n\\nKING & SPALDING']
[ 19.  12. 177.   1. 209.  74.  11. 126.],7,19,3,['ORG'],725,4,"['BY:  STEVEN HAMMER, ESQUIRE\\n\\nSCOTT P. SCHLESINGER, ESQUIRE JONATHAN R. GDANSKI, ESQUIRE BRITTANY CHAMBERS, ESQUIRE\\n\\nOn behalf of Defendant, R.J. Reynolds:\\n\\nKING & SPALDING, LLP 100 North Tryon Street, Suite 3900 Charlotte, North Carolina  ']",[177],['North Tryon Street']
[ 21.  12. 219.   1. 157.  29.  11.  69.],8,20,1,['PERSON'],725,6,"['28202 BY:  JEFFREY L. FURR, ESQUIRE\\n\\nKING & SPALDING, LLP 1180 Peachtree Street, NE Atlanta, Georgia  30309-3521']",[219],['JEFFREY L. FURR']
[ 21.  12. 219.   1. 157.  29.  11.  69.],8,21,1,['ORG'],725,6,"['28202 BY:  JEFFREY L. FURR, ESQUIRE\\n\\nKING & SPALDING, LLP 1180 Peachtree Street, NE Atlanta, Georgia  30309-3521']",[219],['ESQUIRE\\n\\nKING & SPALDING']
[ 21.  12. 219.   1. 157.  29.  11.  69.],8,22,2,['ORG'],725,6,"['28202 BY:  JEFFREY L. FURR, ESQUIRE\\n\\nKING & SPALDING, LLP 1180 Peachtree Street, NE Atlanta, Georgia  30309-3521']",[219],['LLP 1180 Peachtree Street']
[ 21.  12. 219.   1. 157.  29.  11.  69.],8,23,3,['ORG'],725,6,"['28202 BY:  JEFFREY L. FURR, ESQUIRE\\n\\nKING & SPALDING, LLP 1180 Peachtree Street, NE Atlanta, Georgia  30309-3521']",[219],['NE Atlanta']
[ 21.  12. 219.   1. 157.  29.  11.  69.],8,24,4,['PHONE_NUMBER'],725,6,"['28202 BY:  JEFFREY L. FURR, ESQUIRE\\n\\nKING & SPALDING, LLP 1180 Peachtree Street, NE Atlanta, Georgia  30309-3521']",[219],['309-3521']
[ 21.  12. 219.   1. 157.  29.  11.  69.],8,25,4,['PHONE_NUMBER'],725,6,"['28202 BY:  JEFFREY L. FURR, ESQUIRE\\n\\nKING & SPALDING, LLP 1180 Peachtree Street, NE Atlanta, Georgia  30309-3521']",[219],['309 3521']
[ 29.  15. 244.   1. 195.  72.  11.  98.],9,26,1,['PERSON'],725,5,"['BY:  NATHAN GUEST, ESQUIRE\\n\\nKATHRYN S. LEHMAN, ESQUIRE\\n\\nKING & SPALDING, LLP\\n\\n1700 Pennsylvania Avenue, NW, Suite 200\\n\\nWashington D.C.  20006']",[244],['NATHAN']
[ 29.  15. 244.   1. 195.  72.  11.  98.],9,27,1,['ORG'],725,5,"['BY:  NATHAN GUEST, ESQUIRE\\n\\nKATHRYN S. LEHMAN, ESQUIRE\\n\\nKING & SPALDING, LLP\\n\\n1700 Pennsylvania Avenue, NW, Suite 200\\n\\nWashington D.C.  20006']",[244],['ESQUIRE\\n\\nKATHRYN S. LEHMAN']
[ 29.  15. 244.   1. 195.  72.  11.  98.],9,28,1,['ORG'],725,5,"['BY:  NATHAN GUEST, ESQUIRE\\n\\nKATHRYN S. LEHMAN, ESQUIRE\\n\\nKING & SPALDING, LLP\\n\\n1700 Pennsylvania Avenue, NW, Suite 200\\n\\nWashington D.C.  20006']",[244],['ESQUIRE\\n\\nKING & SPALDING']
[ 29.  15. 244.   1. 195.  72.  11.  98.],9,29,1,['ORG'],725,5,"['BY:  NATHAN GUEST, ESQUIRE\\n\\nKATHRYN S. LEHMAN, ESQUIRE\\n\\nKING & SPALDING, LLP\\n\\n1700 Pennsylvania Avenue, NW, Suite 200\\n\\nWashington D.C.  20006']",[244],"['LLP\\n\\n1700 Pennsylvania Avenue, NW']"
[ 29.  15. 244.   1. 195.  72.  11.  98.],9,30,1,['ORG'],725,5,"['BY:  NATHAN GUEST, ESQUIRE\\n\\nKATHRYN S. LEHMAN, ESQUIRE\\n\\nKING & SPALDING, LLP\\n\\n1700 Pennsylvania Avenue, NW, Suite 200\\n\\nWashington D.C.  20006']",[244],['Suite 200\\n\\nWashington D.C.']
[ 33.  15. 269.   1.  40.  11.  21.  97.],10,31,1,['ORG'],725,4,"['-4707\\n\\nBY:  SCOTT M. EDSON, ESQUIRE\\n\\nOn behalf of Defendant, Philip Morris USA:\\n\\nBOIES SCHILLER & FLEXNER, LLP\\n\\n100 Southeast Second Street, Suite 2800\\n\\nMiami, Florida  33131\\n\\nBY:  ']",[269],['SCOTT M. EDSON']
[ 33.  15. 269.   1.  40.  11.  21.  97.],10,32,1,['ORG'],725,4,"['-4707\\n\\nBY:  SCOTT M. EDSON, ESQUIRE\\n\\nOn behalf of Defendant, Philip Morris USA:\\n\\nBOIES SCHILLER & FLEXNER, LLP\\n\\n100 Southeast Second Street, Suite 2800\\n\\nMiami, Florida  33131\\n\\nBY:  ']",[269],['Philip Morris USA:\\n\\nBOIES SCHILLER & FLEXNER']
[ 33.  15. 269.   1.  40.  11.  21.  97.],10,33,1,['ORG'],725,4,"['-4707\\n\\nBY:  SCOTT M. EDSON, ESQUIRE\\n\\nOn behalf of Defendant, Philip Morris USA:\\n\\nBOIES SCHILLER & FLEXNER, LLP\\n\\n100 Southeast Second Street, Suite 2800\\n\\nMiami, Florida  33131\\n\\nBY:  ']",[269],['LLP\\n\\n100 Southeast Second Street']
[ 33.  15. 269.   1.  40.  11.  21.  97.],10,34,1,['ORG'],725,4,"['-4707\\n\\nBY:  SCOTT M. EDSON, ESQUIRE\\n\\nOn behalf of Defendant, Philip Morris USA:\\n\\nBOIES SCHILLER & FLEXNER, LLP\\n\\n100 Southeast Second Street, Suite 2800\\n\\nMiami, Florida  33131\\n\\nBY:  ']",[269],['Florida  33131\\n\\nBY']
[ 38.  15. 302.   1. 126.  40.  10. 100.],11,36,1,['PERSON'],725,3,"['ANDREW BRENNER, ESQUIRE\\n\\nAPPEARANCES CONTINUED on next page.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=2\\n1 APPEARANCES CONTINUED\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\\n\\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ']",[302],['Janette Moreno']
[ 38.  15. 302.   1. 126.  40.  10. 100.],11,38,2,['ORG'],725,3,"['ANDREW BRENNER, ESQUIRE\\n\\nAPPEARANCES CONTINUED on next page.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=2\\n1 APPEARANCES CONTINUED\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\\n\\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ']",[302],['Liggett Group']
[ 38.  15. 302.   1. 126.  40.  10. 100.],11,39,3,['ORG'],725,3,"['ANDREW BRENNER, ESQUIRE\\n\\nAPPEARANCES CONTINUED on next page.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=2\\n1 APPEARANCES CONTINUED\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\\n\\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ']",[302],['Vector Group Ltd.']
[ 41.  15. 302.   3. 126.  40.  10.  22.],12,35,1,['PERSON'],725,6,"['ANDREW BRENNER, ESQUIRE\\n\\nAPPEARANCES CONTINUED on next page.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=2\\n1 APPEARANCES CONTINUED\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\\n\\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ']",[302],['ANDREW BRENNER']
[ 41.  15. 302.   3. 126.  40.  10.  22.],12,37,1,['PERSON'],725,6,"['ANDREW BRENNER, ESQUIRE\\n\\nAPPEARANCES CONTINUED on next page.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=2\\n1 APPEARANCES CONTINUED\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\\n\\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ']",[302],['CONTINUED\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nOn']
[ 41.  15. 302.   3. 126.  40.  10.  22.],12,40,2,['ORG'],725,6,"['ANDREW BRENNER, ESQUIRE\\n\\nAPPEARANCES CONTINUED on next page.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=2\\n1 APPEARANCES CONTINUED\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\\n\\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ']",[302],"['BENSON, TORRES & FRIEDMAN']"
[ 41.  15. 302.   3. 126.  40.  10.  22.],12,41,3,['PHONE_NUMBER'],725,6,"['ANDREW BRENNER, ESQUIRE\\n\\nAPPEARANCES CONTINUED on next page.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=2\\n1 APPEARANCES CONTINUED\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\\n\\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ']",[302],['894-2796']
[ 41.  15. 302.   3. 126.  40.  10.  22.],12,42,3,['PHONE_NUMBER'],725,6,"['ANDREW BRENNER, ESQUIRE\\n\\nAPPEARANCES CONTINUED on next page.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=2\\n1 APPEARANCES CONTINUED\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\\n\\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ']",[302],['894 2796']
[ 41.  15. 302.   3. 126.  40.  10.  22.],12,43,4,['INTERNATIONAL_PHONE_NUMBER'],725,6,"['ANDREW BRENNER, ESQUIRE\\n\\nAPPEARANCES CONTINUED on next page.\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=2\\n1 APPEARANCES CONTINUED\\n\\n3\\n\\n4\\n\\n5\\n\\n6\\n\\n7\\n\\n8\\n\\n9\\n\\n10\\n\\n11\\n\\n12\\n\\n13\\n\\n14\\n\\n15\\n\\n16\\n\\n17\\n\\n18\\n\\n19\\n\\n20\\n\\n21\\n\\n22\\n\\n23\\n\\n24\\n\\n25\\n\\nOn behalf of Defendants, Liggett Group, LLC, and Vector Group Ltd., Inc.\\n\\nKASOWITZ, BENSON, TORRES & FRIEDMAN, LLP 1441 Brickell Avenue, Suite 1420 Miami, Florida  ']",[302],['101-102-894-2796']
[ 44.   9. 365.   2. 167. 261.  48. 102.],13,44,1,['PERSON'],725,3,"['MARIA RUIZ, ESQUIRE\\n\\nAlso Present: Danny Legra, plaintiff video tech Moni Doss, Schlesinger Law Offices Nancy Paulsen, defense court\\n\\nreporter Cliff Gentle, defense video']",[365],['MARIA RUIZ']
[ 44.   9. 365.   2. 167. 261.  48. 102.],13,45,2,['PERSON'],725,3,"['MARIA RUIZ, ESQUIRE\\n\\nAlso Present: Danny Legra, plaintiff video tech Moni Doss, Schlesinger Law Offices Nancy Paulsen, defense court\\n\\nreporter Cliff Gentle, defense video']",[365],['Danny Legra']
[ 44.   9. 365.   2. 167. 261.  48. 102.],13,46,3,['PERSON'],725,3,"['MARIA RUIZ, ESQUIRE\\n\\nAlso Present: Danny Legra, plaintiff video tech Moni Doss, Schlesinger Law Offices Nancy Paulsen, defense court\\n\\nreporter Cliff Gentle, defense video']",[365],['Moni Doss']
[ 47.   9. 365.   1. 167. 261.  48. 234.],14,47,0,['ORG'],725,1,"['MARIA RUIZ, ESQUIRE\\n\\nAlso Present: Danny Legra, plaintiff video tech Moni Doss, Schlesinger Law Offices Nancy Paulsen, defense court\\n\\nreporter Cliff Gentle, defense video']",[365],['court\\n\\nreporter Cliff Gentle']
[ 49.   2. 393.   3. 158. 522.   5.  22.],15,48,1,['PERSON'],725,4,['tech\\n\\nPage 5405\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1'],[393],['Janette Moreno']
[ 49.   2. 393.   3. 158. 522.   5.  22.],15,49,2,['PHONE_NUMBER'],725,4,['tech\\n\\nPage 5405\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1'],[393],['894-2796']
[ 49.   2. 393.   3. 158. 522.   5.  22.],15,50,2,['PHONE_NUMBER'],725,4,['tech\\n\\nPage 5405\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1'],[393],['894 2796']
[ 49.   2. 393.   3. 158. 522.   5.  22.],15,51,3,['INTERNATIONAL_PHONE_NUMBER'],725,4,['tech\\n\\nPage 5405\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1'],[393],['101-102-894-2796']
[ 52.   1. 462.   2. 212. 527. 215. 155.],16,52,0,['PERSON'],725,1,['the\\n\\twitness.\\n\\n\\n\\tCan you stand up and raise your right\\n\\nhand?\\n\\t\\n\\n\\n\\tTHE WITNESS:  Sure.\\n\\n\\n\\tTHE CLERK:  '],[462],['Sure.\\n\\n\\n\\tTHE']
[ 53.   2. 477.   2. 296. 120. 223. 316.],17,53,0,['PERSON'],725,1,"[""Do you solemnly swear or\\n\\naffirm\\n\\tthat the evidence you\\'re about to give will\\n\\nbe the\\n\\ttruth, the whole truth, and nothing but the\\n\\ntruth?\\n\\t\\n\\n\\n\\tTHE WITNESS:  ""]",[477],['will\\n\\nbe the\\n\\ttruth']
[ 54.   3. 514.   2. 137. 197.  32.  55.],18,54,0,['PERSON'],725,1,"[""I\\'m calling Dr. Daniel Seidman\\n\\nto the\\n\\twitness""]",[514],['Dr. Daniel Seidman\\n\\nto']
[ 55.   4. 522.   1.  12. 263. 208.  52.],19,55,0,['ORG'],725,5,"['MR.\\n\\tSCHLESINGER:\\n\\nQ.\\n\\tGood morning, Doc.\\n\\nA.\\n\\tGood morning.\\n\\nQ.\\n\\tHow are you?\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=4\\n\\n\\tPage 54']",[522],['Doc.\\n\\nA.\\n\\tGood morning.\\n\\nQ.\\n\\tHow']
[ 55.   4. 522.   1.  12. 263. 208.  52.],19,56,1,['PERSON'],725,5,"['MR.\\n\\tSCHLESINGER:\\n\\nQ.\\n\\tGood morning, Doc.\\n\\nA.\\n\\tGood morning.\\n\\nQ.\\n\\tHow are you?\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=4\\n\\n\\tPage 54']",[522],['Janette Moreno']
[ 55.   4. 522.   1.  12. 263. 208.  52.],19,57,2,['PHONE_NUMBER'],725,5,"['MR.\\n\\tSCHLESINGER:\\n\\nQ.\\n\\tGood morning, Doc.\\n\\nA.\\n\\tGood morning.\\n\\nQ.\\n\\tHow are you?\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=4\\n\\n\\tPage 54']",[522],['894-2796']
[ 55.   4. 522.   1.  12. 263. 208.  52.],19,58,2,['PHONE_NUMBER'],725,5,"['MR.\\n\\tSCHLESINGER:\\n\\nQ.\\n\\tGood morning, Doc.\\n\\nA.\\n\\tGood morning.\\n\\nQ.\\n\\tHow are you?\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=4\\n\\n\\tPage 54']",[522],['894 2796']
